,nm_empresa,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,volume_m3,price_per_m3,Razão Social,Município,nm_mun,nu_latitude,nu_longitude
32,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
33,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
34,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
35,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
36,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
37,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
38,Acasel Acabamento E Seguranca Ltda,https://acasel.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acasel Acabamento E Seguranca Ltda,CHAPECO,CHAPECO,-27.10683702,-52.61703111
39,Clagil Agro Pecuaria E Representacoes,https://clagil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,,,,
40,Aster Distribuicao,https://asterdistribuidora.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,,,,
41,Acqua Brasil Ltda,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,-26.90742624,-48.65702321
42,Acqua Brasil Ltda,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,-26.90742624,-48.65702321
43,Acqua Brasil Ltda,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,-26.90742624,-48.65702321
44,Acqua Brasil Ltda,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,-26.90742624,-48.65702321
45,Acqua Brasil Ltda,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,-26.90742624,-48.65702321
46,Acqua Brasil Ltda,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,-26.90742624,-48.65702321
47,Acqua Brasil Ltda,https://aquabrasil.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,Acqua Brasil Ltda,ITAJAI,ITAJAI,-26.90742624,-48.65702321
48,Moveis Alvin,https://www.moveisalvin.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,,,,
