,website_url,query,status,message_pt,attempts,name,dimensions_raw,price_raw,url,length_mm,width_mm,thickness_mm,price_value,currency,quantity,volume_m3,price_per_m3,nm_empresa,cidade,nm_mun,nm_uf,nu_latitude,nu_longitude
204,https://www.micarconstrucao.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comercio De Material De Construcao Micar Ltda,MASSARANDUBA,MASSARANDUBA,Paraíba,-7.180199471,-35.73751521
205,https://www.micarconstrucao.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Comercio De Material De Construcao Micar Ltda,MASSARANDUBA,MASSARANDUBA,Santa Catarina,-26.59545801,-48.98874466
210,https://www.mundodaconstrucao.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Mundo Da Construcao,SIDEROPOLIS,SIDEROPOLIS,Santa Catarina,-28.59510242,-49.42054093
214,https://www.covattiacabamentos.com.br/,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Covatti Acabamentos,XANXERE,XANXERE,Santa Catarina,-26.8745845,-52.40466714
220,https://www.cristalvel.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Cristalvel Industria E Comercio De Utilidades Domesticas Ltda,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
229,https://www.copalux.com.br,painel pinus,NOT_FOUND,Nao foram encontrados itens de 'painel pinus' (ou equivalentes) com dimensoes no nome neste site.,['painel pinus'],,,,,,,,,,,,,Copalux,ITUPORANGA,ITUPORANGA,Santa Catarina,-27.41485849,-49.6034147
233,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],"Painel Pinus Sarrafeado 20mm x 1,20mts x 3,00mts","20mm x 1,20mts x 3,00mts","R$ 615,00",https://www.beijaflormadeiras.com.br/painel-pinus-sarrafeado-20mm-x-1-20mts-x-3-00mts/,1200,3000,20.0,615.0,BRL,1.0,,,Madereira Beija Flor,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
242,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Pinus Sarrafeado 30mm,"3,0 metros x 1,20 metros x 30 milímetros","R$ 915,00",https://www.beijaflormadeiras.com.br/painel-pinus-sarrafeado-30mm/,3000,1200,30,915.0,BRL,1.0,,,Madereira Beija Flor,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
251,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Sarrafeado de Pinus 35mm,"3,0 metros x 1,20 metros x 35 milímetros","R$ 1.066,00",https://www.beijaflormadeiras.com.br/painel-sarrafeado-de-pinus-35mm/,3000,1200,35,1066.0,BRL,1.0,,,Madereira Beija Flor,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
260,https://www.beijaflormadeiras.com.br/,painel pinus,FOUND,Itens encontrados.,['painel pinus'],Painel Sarrafeado Pinus 25mm,"3,0 metros x 1,20 metros x 25 milímetros","R$ 766,50",https://www.beijaflormadeiras.com.br/painel-sarrafeado-pinus-25mm/,3000,1200,25,766.5,BRL,1.0,,,Madereira Beija Flor,LAGES,LAGES,Santa Catarina,-27.81725946,-50.33022242
