nm_municipio_1mai_sa_x,cd_mun_7d,nm_uf_x,sg_uf,grupo_setor,quantidade_empresas,nm_uf_y,nm_municipio_1mai_sa_y,nm_microrregiao,nu_latitude,nu_longitude
Doutor Pedrinho,4205159.0,Santa Catarina,SC,Comércio varejista de materiais de construção,2,Santa Catarina,Doutor Pedrinho,Blumenau,-26.72046096,-49.47929336
Doutor Pedrinho,4205159.0,Santa Catarina,SC,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,4,Santa Catarina,Doutor Pedrinho,Blumenau,-26.72046096,-49.47929336
Doutor Pedrinho,4205159.0,Santa Catarina,SC,Fabricação de móveis com predominância de madeira,4,Santa Catarina,Doutor Pedrinho,Blumenau,-26.72046096,-49.47929336
Doutor Ricardo,4306759.0,Rio Grande do Sul,RS,Fabricação de móveis com predominância de madeira,2,Rio Grande do Sul,Doutor Ricardo,Lajeado-Estrela,-29.09903106,-51.98490439
Doutor Ulysses,4128633.0,Paraná,PR,Comércio atacadista de materiais de construção,1,Paraná,Doutor Ulysses,Cerro Azul,-24.56783645,-49.4197718
Doverlandia,5207253.0,Goiás,GO,Comércio varejista de materiais de construção,3,Goiás,Doverlandia,Sudoeste de Goiás,-16.72103706,-52.31398042
Dracena,3514403.0,São Paulo,SP,Comércio varejista de materiais de construção,19,São Paulo,Dracena,Dracena,-21.48613754,-51.53404966
Dracena,3514403.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,5,São Paulo,Dracena,Dracena,-21.48613754,-51.53404966
Duartina,3514502.0,São Paulo,SP,Comércio varejista de materiais de construção,3,São Paulo,Duartina,Bauru,-22.41488138,-49.40504541
Duartina,3514502.0,São Paulo,SP,Fabricação de móveis com predominância de madeira,1,São Paulo,Duartina,Bauru,-22.41488138,-49.40504541
Duas Barras,3301603.0,Rio de Janeiro,RJ,Comércio varejista de materiais de construção,1,Rio de Janeiro,Duas Barras,Nova Friburgo,-22.05890609,-42.51509763
Duas Estradas,2505808.0,Paraíba,PB,Comércio varejista de materiais de construção,1,Paraíba,Duas Estradas,Guarabira,-6.688132955,-35.4181768
Dumont,3514601.0,São Paulo,SP,Comércio varejista de materiais de construção,1,São Paulo,Dumont,Ribeirão Preto,-21.233326,-47.97084345
Duque Bacelar,2103901.0,Maranhão,MA,Comércio varejista de materiais de construção,1,Maranhão,Duque Bacelar,Coelho Neto,-4.147819097,-42.9441802
Duque de Caxias,3301702.0,Rio de Janeiro,RJ,Comércio atacadista de materiais de construção,5,Rio de Janeiro,Duque de Caxias,Rio de Janeiro,-22.78525325,-43.30988807
